iter	Passed	Remaining
467	734	834
468	735	832
469	736	830
470	737	828
471	739	826
472	740	824
473	741	822
474	742	820
475	746	821
476	748	820
477	750	819
478	751	817
479	752	815
480	753	813
481	754	810
482	755	808
483	756	806
484	757	804
485	759	802
486	760	801
487	762	800
488	764	798
489	765	796
490	766	794
491	770	795
492	772	794
493	773	792
494	775	791
495	778	791
496	780	790
497	782	788
498	783	786
499	784	784
500	786	782
501	787	780
502	790	781
503	792	779
504	794	778
505	799	780
506	802	779
507	803	778
508	812	783
509	814	782
510	816	781
511	817	779
512	818	777
513	822	778
514	827	779
515	829	778
516	831	776
517	832	774
518	834	773
519	844	779
520	846	777
521	847	776
522	848	774
523	852	774
524	857	775
525	859	774
526	860	772
527	862	770
528	863	769
529	866	768
530	872	770
531	874	769
532	876	767
533	877	765
534	878	763
535	880	762
536	890	767
537	892	766
538	894	764
539	895	763
540	898	762
541	905	765
542	907	763
543	909	762
544	922	769
545	923	768
546	925	766
547	926	764
548	937	769
549	938	768
550	940	766
551	942	764
552	950	768
553	952	766
554	954	765
555	956	763
556	957	761
557	966	765
558	968	764
559	970	762
560	972	760
561	975	760
562	982	762
563	988	764
564	990	762
565	991	760
566	1001	764
567	1002	762
568	1004	760
569	1006	759
570	1007	757
571	1011	757
572	1014	755
573	1015	753
574	1017	751
575	1018	750
576	1019	747
577	1020	745
578	1021	743
579	1024	741
580	1027	741
581	1029	739
582	1030	737
583	1032	735
584	1033	733
585	1034	730
586	1035	728
587	1036	726
588	1037	723
589	1041	724
590	1043	722
591	1045	720
592	1046	718
593	1048	716
594	1049	714
595	1050	711
596	1051	709
597	1054	708
598	1057	707
599	1058	705
600	1059	703
601	1061	701
602	1062	699
603	1063	697
604	1064	695
605	1065	693
606	1068	691
607	1076	693
608	1078	692
609	1079	690
610	1081	688
611	1084	687
612	1087	686
613	1089	684
614	1090	682
615	1091	680
616	1093	678
617	1094	676
618	1095	674
619	1096	672
620	1102	673
621	1104	671
622	1106	669
623	1107	667
624	1109	665
625	1110	663
626	1111	661
627	1112	658
628	1116	658
629	1118	657
630	1120	655
631	1121	653
632	1123	651
633	1124	649
634	1125	647
635	1126	644
636	1131	644
637	1132	642
638	1134	640
639	1135	638
640	1137	637
641	1138	634
642	1139	632
643	1140	630
644	1142	628
645	1147	628
646	1149	627
647	1151	625
648	1153	623
649	1154	621
650	1155	619
651	1156	617
652	1157	614
653	1162	614
654	1163	613
655	1166	611
656	1167	609
657	1169	607
658	1170	605
659	1170	603
660	1172	601
661	1176	600
662	1177	598
663	1179	596
664	1181	594
665	1182	592
666	1183	591
667	1185	589
668	1186	587
669	1189	586
670	1191	584
671	1192	582
672	1194	580
673	1196	578
674	1197	576
675	1200	575
676	1201	573
677	1207	573
678	1208	571
679	1211	570
680	1212	568
681	1215	566
682	1216	564
683	1220	563
684	1222	562
685	1225	560
686	1226	558
687	1228	557
688	1229	555
689	1231	553
690	1232	550
691	1236	550
692	1237	548
693	1240	546
694	1241	544
695	1243	542
696	1244	540
697	1245	538
698	1247	537
699	1249	535
700	1250	533
701	1254	532
702	1256	530
703	1257	528
704	1259	526
705	1264	526
706	1266	524
707	1267	522
708	1270	521
709	1271	519
710	1273	517
711	1274	515
712	1276	513
713	1278	511
714	1280	510
715	1281	508
716	1283	506
717	1284	504
718	1285	502
719	1286	500
720	1287	498
721	1291	497
722	1293	495
723	1294	493
724	1296	491
725	1298	489
726	1299	488
727	1301	486
728	1302	484
729	1306	483
730	1308	481
731	1309	479
732	1312	478
733	1313	476
734	1315	474
735	1316	472
736	1317	470
737	1321	469
738	1323	467
739	1324	465
740	1327	464
741	1328	462
742	1330	460
743	1331	458
744	1332	456
745	1336	455
746	1338	453
747	1339	451
748	1342	449
749	1344	448
750	1345	446
751	1347	444
752	1348	442
753	1351	441
754	1353	439
755	1354	437
756	1357	435
757	1359	433
758	1360	431
759	1362	430
760	1363	428
761	1367	427
762	1369	425
763	1372	423
764	1373	421
765	1374	419
766	1376	418
767	1377	416
768	1378	414
769	1382	412
770	1383	410
771	1384	409
772	1387	407
773	1388	405
774	1390	403
775	1391	401
776	1393	399
777	1394	397
778	1395	395
779	1397	394
780	1398	392
781	1401	390
782	1403	388
783	1405	387
784	1406	385
785	1409	383
786	1411	382
787	1412	380
788	1415	378
789	1416	376
790	1418	374
791	1419	372
792	1420	370
793	1421	368
794	1426	367
795	1427	365
796	1428	363
797	1431	362
798	1432	360
799	1434	358
800	1435	356
801	1437	354
802	1441	353
803	1443	351
804	1449	351
805	1450	349
806	1452	347
807	1456	346
808	1458	344
809	1459	342
810	1460	340
811	1463	338
812	1464	336
813	1466	334
814	1467	333
815	1471	331
816	1473	330
817	1476	328
818	1477	326
819	1479	324
820	1480	322
821	1482	320
822	1483	319
823	1487	317
824	1488	315
825	1490	314
826	1492	312
827	1494	310
828	1495	308
829	1497	306
830	1498	304
831	1502	303
832	1504	301
833	1505	299
834	1508	298
835	1509	296
836	1510	294
837	1512	292
838	1514	290
839	1517	288
840	1519	287
841	1522	285
842	1523	283
843	1525	281
844	1526	279
845	1527	278
846	1528	276
847	1531	274
848	1533	272
849	1534	270
850	1536	269
851	1538	267
852	1540	265
853	1541	263
854	1542	261
855	1543	259
856	1547	258
857	1548	256
858	1549	254
859	1550	252
860	1552	250
861	1556	249
862	1557	247
863	1563	246
864	1566	244
865	1567	242
866	1569	240
867	1570	238
868	1571	236
869	1572	235
870	1574	233
871	1576	231
872	1583	230
873	1585	228
874	1586	226
875	1588	224
876	1590	223
877	1592	221
878	1595	219
879	1598	217
880	1600	216
881	1601	214
882	1603	212
883	1604	210
884	1606	208
885	1608	206
886	1612	205
887	1614	203
888	1615	201
889	1616	199
890	1619	198
891	1620	196
892	1621	194
893	1626	192
894	1628	191
895	1629	189
896	1631	187
897	1633	185
898	1634	183
899	1636	181
900	1638	180
901	1642	178
902	1644	176
903	1645	174
904	1646	172
905	1649	171
906	1650	169
907	1652	167
908	1654	165
909	1656	163
910	1658	162
911	1659	160
912	1661	158
913	1662	156
914	1664	154
915	1666	152
916	1668	151
917	1670	149
918	1672	147
919	1673	145
920	1675	143
921	1676	141
922	1680	140
923	1682	138
924	1684	136
925	1686	134
926	1687	132
927	1688	131
928	1690	129
929	1693	127
930	1699	125
931	1701	124
932	1702	122
933	1703	120
934	1705	118
935	1706	116
936	1709	114
937	1712	113
938	1714	111
939	1715	109
940	1716	107
941	1718	105
942	1719	103
943	1720	102
944	1721	100
945	1722	98
946	1724	96
947	1726	94
948	1729	92
949	1731	91
950	1732	89
951	1734	87
952	1735	85
953	1738	83
954	1742	82
955	1744	80
956	1746	78
957	1747	76
958	1748	74
959	1750	72
960	1753	71
961	1757	69
962	1760	67
963	1761	65
964	1763	63
965	1765	62
966	1766	60
967	1772	58
968	1774	56
969	1776	54
970	1777	53
971	1779	51
972	1781	49
973	1783	47
974	1789	45
975	1790	44
976	1792	42
977	1794	40
978	1796	38
979	1797	36
980	1800	34
981	1804	33
982	1806	31
983	1807	29
984	1808	27
985	1810	25
986	1811	23
987	1822	22
988	1824	20
989	1826	18
990	1827	16
991	1833	14
992	1835	12
993	1836	11
994	1838	9
995	1839	7
996	1841	5
997	1842	3
998	1847	1
999	1849	0
